naics,name,pci,rca,alm_emp,oked,oked_name
451130,"Sewing, Needlework, and Piece Goods Stores ",-0.61,2.86,1189,4751,Розничная торговля текстильными изделиями в специализированных магазинах
541430,Graphic Design Services,-0.63,1.06,722,7410,Специализированные работы по дизайну
722320,Caterers,-0.63,3.72,7739,5621,Доставка пищи на заказ
114112,Shellfish Fishing ,-0.64,2.02,22,312,Пресноводное рыболовство
448130,Children's and Infants' Clothing Stores ,-0.64,1.15,395,4771,Розничная торговля одеждой в специализированных магазинах
488190,Other Support Activities for Air Transportation,-0.65,1.67,2281,5223,Услуги в области воздушного транспорта
512131,Motion Picture Theaters (except Drive-Ins) ,-0.65,1.08,1619,5914,Деятельность по показу кинофильмов
311513,Cheese Manufacturing ,-0.66,1.92,945,1051,Переработка молока и производство сыра
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing ",-0.66,1.91,2118,7711,Аренда и сдача в аренду автомобилей и легковых автомобилей
321999,All Other Miscellaneous Wood Product Manufacturing ,-0.67,1.33,355,3109,Производство прочей мебели
236210,Industrial Building Construction ,-0.67,2.07,1848,4120,Строительство жилых и нежилых зданий
448110,Men's Clothing Stores ,-0.68,1.15,736,4771,Розничная торговля одеждой в специализированных магазинах
311710,Seafood Product Preparation and Packaging,-0.68,24.43,4797,1042,Производство маргарина и аналогичных пищевых жиров
115116,Farm Management Services ,-0.69,1.66,58,161,Вспомогательные виды деятельности в области выращивания сельскохозяйственных культур
423990,Other Miscellaneous Durable Goods Merchant Wholesalers ,-0.69,50.78,56428,4690,Неспециализированная оптовая торговля
541990,"All Other Professional, Scientific, and Technical Services",-0.69,2.51,4709,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
488510,Freight Transportation Arrangement ,-0.69,3.47,15727,5229,Прочие сопроводительные услуги при перевозках
445230,Fruit and Vegetable Markets ,-0.7,9.61,2606,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
321212,Softwood Veneer and Plywood Manufacturing ,-0.7,1.82,85,1621,"Производство шпона, фанеры, плит и панелей"
423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers ",-0.71,1.13,1951,4646,Оптовая торговля фармацевтическими товарами
532284,Recreational Goods Rental ,-0.73,2.06,403,7721,Прокат и аренда развлекательного и спортивного инвентаря
522292,Real Estate Credit ,-0.73,1.62,5327,6492,Прочие виды кредитования
311811,Retail Bakeries ,-0.74,2.01,2398,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
541380,Testing Laboratories,-0.75,1.61,3458,7120,Технические испытания и анализы
541620,Environmental Consulting Services,-0.77,2.16,2637,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
236117,New Housing For-Sale Builders ,-0.83,1.56,2848,4120,Строительство жилых и нежилых зданий
212210,Iron Ore Mining,-0.83,1.11,54,710,Добыча железной руды
445299,All Other Specialty Food Stores ,-0.83,9.98,5676,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
442299,All Other Home Furnishings Stores ,-0.83,3.04,5830,4754,Розничная торговля электрическими бытовыми приборами в специализированных магазинах
532111,Passenger Car Rental ,-0.84,1.29,1512,7711,Аренда и сдача в аренду автомобилей и легковых автомобилей
611610,Fine Arts Schools ,-0.84,1.51,2649,8552,Образование в сфере культуры
448150,Clothing Accessories Stores ,-0.84,2.35,1699,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
446130,Optical Goods Stores ,-0.85,1.2,1331,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
445210,Meat Markets ,-0.85,9.24,5549,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
238290,Other Building Equipment Contractors ,-0.86,2.29,4627,4329,Прочие строительно-монтажные работы
326199,All Other Plastics Product Manufacturing ,-0.87,1.08,5112,3109,Производство прочей мебели
115113,"Crop Harvesting, Primarily by Machine ",-0.88,1.38,36,161,Вспомогательные виды деятельности в области выращивания сельскохозяйственных культур
812990,All Other Personal Services ,-0.89,11.37,13793,9609,"Предоставление прочих услуг, не включенных в другие группировки"
451211,Book Stores ,-0.89,1.11,720,4762,Розничная торговля газетами и канцелярскими товарами в специализированных магазинах
425120,Wholesale Trade Agents and Brokers ,-0.89,1.93,5978,4619,Деятельность агентов по торговле товарами широкого ассортимента
443141,Household Appliance Stores ,-0.9,1.98,1208,4754,Розничная торговля электрическими бытовыми приборами в специализированных магазинах
561210,Facilities Support Services,-0.92,3.24,10278,8110,Комплексное обслуживание объектов
212325,Clay and Ceramic and Refractory Minerals Mining ,-0.92,6.11,23,899,"Прочие отрасли горнодобывающей промышленности, не включенные в другие категории"
452311,Warehouse Clubs and Supercenters ,-0.92,1.98,48387,4719,Прочая розничная торговля в неспециализированных магазинах
453930,Manufactured (Mobile) Home Dealers ,-0.93,1.2,111,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers ",-0.93,1.55,4906,4646,Оптовая торговля фармацевтическими товарами
115115,Farm Labor Contractors and Crew Leaders ,-0.94,1.38,249,161,Вспомогательные виды деятельности в области выращивания сельскохозяйственных культур
812199,Other Personal Care Services ,-0.95,8.9,23099,9609,"Предоставление прочих услуг, не включенных в другие группировки"
519120,Libraries and Archives ,-0.95,3.48,1096,9101,Деятельность библиотек и архивов
454110,Electronic Shopping and Mail-Order Houses ,-0.95,3.35,41234,4791,"Розничная торговля через фирмы, выполняющие заказы по почте и через Интернет"
448190,Other Clothing Stores ,-0.95,1.15,1678,4771,Розничная торговля одеждой в специализированных магазинах
453910,Pet and Pet Supplies Stores ,-0.96,1.2,2006,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
114111,Finfish Fishing ,-0.96,2.02,54,312,Пресноводное рыболовство
311512,Creamery Butter Manufacturing ,-0.96,1.05,17,1051,Переработка молока и производство сыра
486110,Pipeline Transportation of Crude Oil,-0.96,2.03,213,4950,Транспортирование по трубопроводу
212230,"Copper, Nickel, Lead, and Zinc Mining ",-0.96,1.43,113,729,Добыча руд других цветных металлов
515112,Radio Stations ,-0.96,1.44,1007,6120,Беспроводная телекоммуникационная связь
446191,Food (Health) Supplement Stores ,-0.97,9.24,4180,4724,"Розничная торговля хлебобулочными, мучными и сахаристыми кондитерскими изделиями в специализированных магазинах"
453920,Art Dealers ,-0.97,1.2,272,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
812113,Nail Salons ,-0.99,1.08,2262,9602,Предоставление услуг парикмахерскими и салонами красоты
212221,Gold Ore Mining ,-1.0,1.43,195,729,Добыча руд других цветных металлов
237990,Other Heavy and Civil Engineering Construction ,-1.01,1.75,1861,4211,Строительство дорог и автомагистралей
238310,Drywall and Insulation Contractors ,-1.04,2.15,7579,4329,Прочие строительно-монтажные работы
321213,Engineered Wood Member (except Truss) Manufacturing ,-1.04,1.95,22,1621,"Производство шпона, фанеры, плит и панелей"
327320,Ready-Mix Concrete Manufacturing,-1.04,2.54,2863,2361,Производство строительных изделий из бетона
424690,Other Chemical and Allied Products Merchant Wholesalers ,-1.05,1.3,2115,4646,Оптовая торговля фармацевтическими товарами
811490,Other Personal and Household Goods Repair and Maintenance ,-1.06,1.4,750,3312,Ремонт машин и оборудования
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) ",-1.07,1.33,2496,9499,"Деятельность прочих общественных организаций, не включенных в другие группировки"
212113,Anthracite Mining ,-1.08,1.23,16,510,Добыча каменного угля
522120,Savings Institutions ,-1.09,1.78,2137,6419,Другие виды денежно-кредитного посредничества
443142,Electronics Stores ,-1.11,3.11,6453,4741,"Розничная торговля компьютерами, периферийным оборудованием и программным обеспечением в специализированных магазинах"
486210,Pipeline Transportation of Natural Gas,-1.11,2.03,523,4950,Транспортирование по трубопроводу
541690,Other Scientific and Technical Consulting Services,-1.13,2.16,5174,7490,"Прочая профессиональная, научная и техническая деятельность, не включенная в другие категории"
561990,All Other Support Services,-1.13,10.01,23724,8413,Регулирование и содействие эффективному ведению экономической деятельности
446199,All Other Health and Personal Care Stores ,-1.14,1.03,1015,4775,Розничная торговля косметическими товарами и предметами гигиены в специализированных магазинах
424490,Other Grocery and Related Products Merchant Wholesalers ,-1.14,1.53,7080,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
311119,Other Animal Food Manufacturing ,-1.14,1.07,282,1091,"Производство готовых кормов для животных, содержащихся на фермах"
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers ",-1.14,1.49,1405,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
531130,Lessors of Miniwarehouses and Self-Storage Units ,-1.15,4.84,3228,6820,Аренда и управление собственной или арендуемой недвижимостью
711510,"Independent Artists, Writers, and Performers ",-1.16,1.75,1583,9001,Продюсерская деятельность
611110,Elementary and Secondary Schools ,-1.16,4.71,76508,8531,Основное и общее среднее образование
221310,Water Supply and Irrigation Systems ,-1.17,10.0,5183,3600,"Сбор, обработка и распределение воды"
713990,All Other Amusement and Recreation Industries ,-1.18,1.54,4765,9329,Прочие виды деятельности по организации отдыха и развлечений
213113,Support Activities for Coal Mining ,-1.19,20.38,518,990,Техническая поддержка для прочих областей горнодобывающей промышленности и подземной разработки
446120,"Cosmetics, Beauty Supplies, and Perfume Stores ",-1.2,1.03,2744,4775,Розничная торговля косметическими товарами и предметами гигиены в специализированных магазинах
211130,Natural Gas Extraction ,-1.21,1.23,344,510,Добыча каменного угля
531120,Lessors of Nonresidential Buildings (except Miniwarehouses) ,-1.22,4.84,11798,6820,Аренда и управление собственной или арендуемой недвижимостью
453110,Florists ,-1.22,1.2,848,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
812910,Pet Care (except Veterinary) Services ,-1.23,8.9,21740,9609,"Предоставление прочих услуг, не включенных в другие группировки"
448310,Jewelry Stores ,-1.23,1.3,1933,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
531190,Lessors of Other Real Estate Property ,-1.24,4.84,2165,6820,Аренда и управление собственной или арендуемой недвижимостью
221116,Geothermal Electric Power Generation ,-1.25,1.82,21,3512,Передача электроэнергии
115112,"Soil Preparation, Planting, and Cultivating ",-1.26,1.38,174,161,Вспомогательные виды деятельности в области выращивания сельскохозяйственных культур
812112,Beauty Salons ,-1.31,1.08,5955,9602,Предоставление услуг парикмахерскими и салонами красоты
453220,"Gift, Novelty, and Souvenir Stores ",-1.31,1.2,2092,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
448140,Family Clothing Stores ,-1.33,1.15,12030,4771,Розничная торговля одеждой в специализированных магазинах
454390,Other Direct Selling Establishments ,-1.34,21.66,33981,4789,Розничная торговля прочими товарами через палатки и рынки
221122,Electric Power Distribution ,-1.35,1.82,8128,3512,Передача электроэнергии
522390,Other Activities Related to Credit Intermediation ,-1.37,1.78,1921,6419,Другие виды денежно-кредитного посредничества
722310,Food Service Contractors,-1.4,2.03,17480,5629,Прочие виды организации питания
522130,Credit Unions ,-1.4,1.78,8502,6419,Другие виды денежно-кредитного посредничества
454310,Fuel Dealers ,-1.41,6.02,5062,4799,"Другие виды розничной торговли вне магазинов, торговых палаток или рынков"
442110,Furniture Stores ,-1.41,1.85,4938,4754,Розничная торговля электрическими бытовыми приборами в специализированных магазинах
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,-1.41,3.28,7009,4754,Розничная торговля электрическими бытовыми приборами в специализированных магазинах
448210,Shoe Stores ,-1.42,1.15,3252,4771,Розничная торговля одеждой в специализированных магазинах
236220,Commercial and Institutional Building Construction ,-1.42,1.94,17259,4120,Строительство жилых и нежилых зданий
211120,Crude Petroleum Extraction ,-1.43,1.29,864,610,Добыча сырой нефти
236118,Residential Remodelers ,-1.46,1.56,10391,4120,Строительство жилых и нежилых зданий
522298,All Other Nondepository Credit Intermediation ,-1.48,2.91,2584,6492,Прочие виды кредитования
444220,"Nursery, Garden Center, and Farm Supply Stores ",-1.5,1.2,2148,4778,Другие виды розничной торговли новыми товарами в специализированных магазинах
444190,Other Building Material Dealers ,-1.5,1.87,6909,4754,Розничная торговля электрическими бытовыми приборами в специализированных магазинах
531110,Lessors of Residential Buildings and Dwellings ,-1.51,4.84,23663,6820,Аренда и управление собственной или арендуемой недвижимостью
236115,New Single-Family Housing Construction (except For-Sale Builders) ,-1.51,1.56,4892,4120,Строительство жилых и нежилых зданий
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance ,-1.52,2.09,6120,3312,Ремонт машин и оборудования
446110,Pharmacies and Drug Stores ,-1.54,1.03,9702,4775,Розничная торговля косметическими товарами и предметами гигиены в специализированных магазинах
448120,Women's Clothing Stores ,-1.56,1.15,3515,4771,Розничная торговля одеждой в специализированных магазинах
517311,Wired Telecommunications Carriers ,-1.56,2.84,22354,6110,Проводная телекоммуникационная связь
452319,All Other General Merchandise Stores ,-1.61,2.19,14382,4719,Прочая розничная торговля в неспециализированных магазинах
522291,Consumer Lending ,-1.63,1.62,1800,6492,Прочие виды кредитования
517312,Wireless Telecommunications Carriers (except Satellite),-1.64,1.39,4585,6120,Беспроводная телекоммуникационная связь
522110,Commercial Banking ,-1.73,1.78,37741,6419,Другие виды денежно-кредитного посредничества
