naics,name,pci,rca,alm_emp,oked,oked_name
337920,Blind and Shade Manufacturing,1.09,1.24,114,1392,"Производство готовых текстильных изделий, кроме одежды"
488111,Air Traffic Control,1.09,1.33,10,5223,Услуги в области воздушного транспорта
311412,Frozen Specialty Food Manufacturing ,1.07,4.37,2168,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
325312,Phosphatic Fertilizer Manufacturing ,1.07,1.39,11,2015,Производство удобрений и азотосодержащих соединений
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing ",1.04,1.59,313,1089,"Производство прочих продуктов питания, не включенных в другие категории"
488999,All Other Support Activities for Transportation ,1.03,5.51,243,5229,Прочие сопроводительные услуги при перевозках
113210,Forest Nurseries and Gathering of Forest Products ,1.03,21.07,49,210,Лесоводство и прочая лесохозяйственная деятельность
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing ,1.02,3.58,344,2361,Производство строительных изделий из бетона
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing ,1.02,3.02,355,1413,Производство прочей верхней одежды
541840,Media Representatives,0.98,3.25,991,7311,Деятельность рекламных агентств
485113,Bus and Other Motor Vehicle Transit Systems ,0.97,29.85,12671,4931,Городской и пригородный пассажирский наземный транспорт
327310,Cement Manufacturing,0.97,6.44,344,2351,"Производство цемента, включая клинкеры"
312111,Soft Drink Manufacturing ,0.97,2.08,1429,1107,Производство минеральных вод и других безалкогольных напитков
522210,Credit Card Issuing ,0.96,1.62,1385,6492,Прочие виды кредитования
336111,Automobile Manufacturing ,0.95,1.0,335,2910,Производство автотранспортных средств
611630,Language Schools ,0.95,3.18,812,8559,"Прочие виды образования, не включенные в другие категории"
336120,Heavy Duty Truck Manufacturing,0.94,1.0,53,2910,Производство автотранспортных средств
336213,Motor Home Manufacturing ,0.94,1.0,79,2910,Производство автотранспортных средств
339991,"Gasket, Packing, and Sealing Device Manufacturing ",0.94,1.47,476,2219,Производство прочей резиновой продукции
332912,Fluid Power Valve and Hose Fitting Manufacturing ,0.93,4.97,1373,2441,Производство благородных (драгоценных) металлов
311821,Cookie and Cracker Manufacturing ,0.92,2.01,509,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
541420,Industrial Design Services,0.92,1.06,181,7410,Специализированные работы по дизайну
315990,Apparel Accessories and Other Apparel Manufacturing ,0.92,3.43,233,1413,Производство прочей верхней одежды
451212,News Dealers and Newsstands ,0.92,1.11,32,4762,Розничная торговля газетами и канцелярскими товарами в специализированных магазинах
311511,Fluid Milk Manufacturing ,0.91,1.92,719,1051,Переработка молока и производство сыра
333618,Other Engine Equipment Manufacturing ,0.9,1.25,256,2910,Производство автотранспортных средств
519130,Internet Publishing and Broadcasting and Web Search Portals,0.89,2.3,11854,6312,Веб-порталы
331318,"Other Aluminum Rolling, Drawing, and Extruding ",0.89,4.49,722,2441,Производство благородных (драгоценных) металлов
812930,Parking Lots and Garages ,0.88,9.31,16439,9609,"Предоставление прочих услуг, не включенных в другие группировки"
711120,Dance Companies ,0.84,1.2,169,9001,Продюсерская деятельность
337910,Mattress Manufacturing,0.83,1.29,244,3109,Производство прочей мебели
481111,Scheduled Passenger Air Transportation ,0.83,1.08,7436,5110,Воздушный пассажирский транспорт
311830,Tortilla Manufacturing,0.82,2.01,367,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
212399,All Other Nonmetallic Mineral Mining ,0.82,6.11,28,899,"Прочие отрасли горнодобывающей промышленности, не включенные в другие категории"
448320,Luggage and Leather Goods Stores ,0.79,1.93,146,4771,Розничная торговля одеждой в специализированных магазинах
541910,Marketing Research and Public Opinion Polling,0.78,5.13,5451,7320,Исследование конъюнктуры рынка и изучение общественного мнения
311942,Spice and Extract Manufacturing ,0.78,1.6,399,1089,"Производство прочих продуктов питания, не включенных в другие категории"
541870,Advertising Material Distribution Services,0.77,3.25,471,7311,Деятельность рекламных агентств
336360,Motor Vehicle Seating and Interior Trim Manufacturing,0.76,1.17,782,1392,"Производство готовых текстильных изделий, кроме одежды"
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",0.75,1.92,110,1051,Переработка молока и производство сыра
311340,Nonchocolate Confectionery Manufacturing,0.73,6.03,1365,1082,"Производство какао, шоколада и сахаристых кондитерских изделий"
331314,Secondary Smelting and Alloying of Aluminum ,0.72,3.06,76,2441,Производство благородных (драгоценных) металлов
323120,Support Activities for Printing,0.72,2.38,502,1813,Изготовление печатных форм и информационная деятельность
315210,Cut and Sew Apparel Contractors ,0.72,3.03,846,1413,Производство прочей верхней одежды
519190,All Other Information Services,0.71,18.31,2161,6399,"Прочие виды деятельности информационных агентств, не упомянутых ни в одной из перечисленных категорий"
311991,Perishable Prepared Food Manufacturing ,0.71,1.62,1400,1089,"Производство прочих продуктов питания, не включенных в другие категории"
221117,Biomass Electric Power Generation ,0.71,1.82,29,3512,Передача электроэнергии
311520,Ice Cream and Frozen Dessert Manufacturing,0.68,1.05,142,1051,Переработка молока и производство сыра
221114,Solar Electric Power Generation ,0.68,1.82,205,3512,Передача электроэнергии
336999,All Other Transportation Equipment Manufacturing ,0.68,1.03,123,2910,Производство автотранспортных средств
311919,Other Snack Food Manufacturing ,0.67,2.73,1012,1071,"Производство хлеба; производство свежих мучных кондитерских изделий, тортов и пирожных"
611210,Junior Colleges ,0.66,1.6,747,8542,Высшее образование
611420,Computer Training ,0.66,3.18,995,8559,"Прочие виды образования, не включенные в другие категории"
561312,Executive Search Services ,0.65,1.03,523,7810,Деятельность агентств по трудоустройству
522220,Sales Financing ,0.65,2.1,2271,6492,Прочие виды кредитования
316210,Footwear Manufacturing ,0.64,2.22,78,1520,Производство обуви
337215,"Showcase, Partition, Shelving, and Locker Manufacturing ",0.62,1.83,457,2511,Производство строительных металлических конструкций и изделий
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining ,0.61,20.38,325,990,Техническая поддержка для прочих областей горнодобывающей промышленности и подземной разработки
332996,Fabricated Pipe and Pipe Fitting Manufacturing ,0.6,4.94,1348,2441,Производство благородных (драгоценных) металлов
517919,All Other Telecommunications ,0.57,2.37,775,6190,Другие виды телекоммуникационных услуг
424440,Poultry and Poultry Product Merchant Wholesalers ,0.56,1.66,112,4639,"Неспециализированная оптовая торговля продуктами питания, напитками и табачными изделиями"
311999,All Other Miscellaneous Food Manufacturing ,0.56,2.69,677,1085,Производство готовых пищевых продуктов
541860,Direct Mail Advertising,0.54,3.25,1266,7311,Деятельность рекламных агентств
327331,Concrete Block and Brick Manufacturing ,0.52,2.54,350,2361,Производство строительных изделий из бетона
322220,Paper Bag and Coated and Treated Paper Manufacturing,0.5,4.44,2283,2441,Производство благородных (драгоценных) металлов
561613,Armored Car Services ,0.5,4.6,1417,8010,Деятельность частных охранных служб
488991,Packing and Crating ,0.5,3.47,736,5229,Прочие сопроводительные услуги при перевозках
311211,Flour Milling ,0.43,1.13,78,1039,Прочие виды переработки и консервирования фруктов и овощей
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers ",0.42,1.23,4060,4646,Оптовая торговля фармацевтическими товарами
561499,All Other Business Support Services ,0.4,1.5,936,8299,"Прочие виды вспомогательного обслуживания хозяйственной деятельности, не включенные в другие категории"
811211,Consumer Electronics Repair and Maintenance ,0.39,1.2,211,9512,Ремонт коммуникационного оборудования
515111,Radio Networks ,0.39,1.44,178,6120,Беспроводная телекоммуникационная связь
331420,"Copper Rolling, Drawing, Extruding, and Alloying",0.39,4.49,647,2441,Производство благородных (драгоценных) металлов
339113,Surgical Appliance and Supplies Manufacturing ,0.38,1.13,1197,2120,Производство фармацевтических препаратов
321219,Reconstituted Wood Product Manufacturing ,0.37,1.82,46,1621,"Производство шпона, фанеры, плит и панелей"
