id,label,color,size,value,x,y,title,cluster,eci,niche_strength,emp,emp_ln,wage
"Scranton--Wilkes-Barre, PA Metro Area, Lackawanna County, Pennsylvania, 42540","Scranton--Wilkes-Barre, PA Metro Area, Lackawanna County, Pennsylvania, 42540",#9467bd,9.428738068416065,0.6768047535665704,-1049,670,"Scranton--Wilkes-Barre, PA Metro Area, Lackawanna County, Pennsylvania, 42540  (cluster 4, strength 0.68)",6,1.4949,29.4915,221005,12.3059,50.45
"Seattle-Tacoma-Bellevue, WA Metro Area, King County, Washington, 42660","Seattle-Tacoma-Bellevue, WA Metro Area, King County, Washington, 42660",#c7c7c7,8.173796486177167,0.3397055520265317,-444,847,"Seattle-Tacoma-Bellevue, WA Metro Area, King County, Washington, 42660  (cluster 7, strength 0.34)",7,3.3581,39.7886,1877354,14.4454,96.52
"Sioux City, IA-NE-SD Metro Area, Woodbury County, Iowa, 43580","Sioux City, IA-NE-SD Metro Area, Woodbury County, Iowa, 43580",#ff7f0e,8.20500799988246,0.3480895090949866,1416,-1605,"Sioux City, IA-NE-SD Metro Area, Woodbury County, Iowa, 43580  (cluster 1, strength 0.35)",1,0.3505,18.8735,60904,11.0171,53.64
"Sioux Falls, SD-MN Metro Area, Rock County, Minnesota, 43620","Sioux Falls, SD-MN Metro Area, Rock County, Minnesota, 43620",#ff7f0e,12.283989847555407,1.443775191526303,1393,-1220,"Sioux Falls, SD-MN Metro Area, Rock County, Minnesota, 43620  (cluster 1, strength 1.44)",1,0.7935,23.9996,153350,11.9405,58.02
"Spartanburg, SC Metro Area, Spartanburg County, South Carolina, 43900","Spartanburg, SC Metro Area, Spartanburg County, South Carolina, 43900",#d62728,11.423646293559417,1.2126719041647098,-1445,330,"Spartanburg, SC Metro Area, Spartanburg County, South Carolina, 43900  (cluster 3, strength 1.21)",3,1.4782,28.6198,133451,11.8015,51.57
"Springfield, MA Metro Area, Hampden County, Massachusetts, 44140","Springfield, MA Metro Area, Hampden County, Massachusetts, 44140",#9edae5,10.978709749019474,1.093154186349662,-774,-958,"Springfield, MA Metro Area, Hampden County, Massachusetts, 44140  (cluster 9, strength 1.09)",9,1.1265,25.9062,156740,11.9623,56.16
"St. Cloud, MN Metro Area, Benton County, Minnesota, 41060","St. Cloud, MN Metro Area, Benton County, Minnesota, 41060",#ff7f0e,10.558855692245048,0.980374062314325,1076,-1351,"St. Cloud, MN Metro Area, Benton County, Minnesota, 41060  (cluster 1, strength 0.98)",1,0.594,20.6787,92102,11.4307,57.24
"St. George, UT Metro Area, Washington County, Utah, 41100","St. George, UT Metro Area, Washington County, Utah, 41100",#dbdb8d,12.547243284436613,1.51448965714868,841,622,"St. George, UT Metro Area, Washington County, Utah, 41100  (cluster 8, strength 1.51)",8,0.6577,24.1248,62999,11.0509,43.68
"St. Louis, MO-IL Metro Area, Bond County, Illinois, 41180","St. Louis, MO-IL Metro Area, Bond County, Illinois, 41180",#f7b6d2,22.48442024095749,4.183788742472613,-253,-152,"St. Louis, MO-IL Metro Area, Bond County, Illinois, 41180  (cluster 6, strength 4.18)",6,2.9286,45.4441,1247007,14.0363,65.54
"Syracuse, NY Metro Area, Madison County, New York, 45060","Syracuse, NY Metro Area, Madison County, New York, 45060",#2ca02c,9.676126835193754,0.7432576920387759,-1124,-194,"Syracuse, NY Metro Area, Madison County, New York, 45060  (cluster 2, strength 0.74)",2,1.4235,30.0967,249655,12.4278,56.85
"Tampa-St. Petersburg-Clearwater, FL Metro Area, Hernando County, Florida, 45300","Tampa-St. Petersburg-Clearwater, FL Metro Area, Hernando County, Florida, 45300",#c7c7c7,13.937719405881978,1.887995800329848,176,-43,"Tampa-St. Petersburg-Clearwater, FL Metro Area, Hernando County, Florida, 45300  (cluster 7, strength 1.89)",7,2.5031,42.7256,1281491,14.0635,62.39
"Toledo, OH Metro Area, Fulton County, Ohio, 45780","Toledo, OH Metro Area, Fulton County, Ohio, 45780",#2ca02c,20.472990141653703,3.643483528249638,-572,-475,"Toledo, OH Metro Area, Fulton County, Ohio, 45780  (cluster 2, strength 3.64)",2,1.6392,32.109,245316,12.4103,53.67
"Topeka, KS Metro Area, Jackson County, Kansas, 45820","Topeka, KS Metro Area, Jackson County, Kansas, 45820",#dbdb8d,8.055902505888696,0.3080371722516592,2148,25,"Topeka, KS Metro Area, Jackson County, Kansas, 45820  (cluster 8, strength 0.31)",8,0.2767,18.1786,73000,11.1982,54.09
"Traverse City, MI Metro Area, Benzie County, Michigan, 45900","Traverse City, MI Metro Area, Benzie County, Michigan, 45900",#dbdb8d,9.755927108706556,0.7646934376261116,1433,-173,"Traverse City, MI Metro Area, Benzie County, Michigan, 45900  (cluster 8, strength 0.76)",8,0.5729,23.4635,53220,10.8822,56.41
"Trenton-Princeton, NJ Metro Area, Mercer County, New Jersey, 45940","Trenton-Princeton, NJ Metro Area, Mercer County, New Jersey, 45940",#dbdb8d,8.25122333167761,0.3605037534451171,1308,-256,"Trenton-Princeton, NJ Metro Area, Mercer County, New Jersey, 45940  (cluster 8, strength 0.36)",8,2.1385,23.8209,200777,12.21,86.22
"Tulsa, OK Metro Area, Creek County, Oklahoma, 46140","Tulsa, OK Metro Area, Creek County, Oklahoma, 46140",#2ca02c,16.45983727333848,2.565480658065322,-348,-288,"Tulsa, OK Metro Area, Creek County, Oklahoma, 46140  (cluster 2, strength 2.57)",2,1.7862,36.0476,390107,12.8742,57.95
"Urban Honolulu, HI Metro Area, Honolulu County, Hawaii, 46520","Urban Honolulu, HI Metro Area, Honolulu County, Hawaii, 46520",#dbdb8d,16.36696147523078,2.540532598468283,578,39,"Urban Honolulu, HI Metro Area, Honolulu County, Hawaii, 46520  (cluster 8, strength 2.54)",8,1.5081,33.1042,326934,12.6975,61.23
"Vallejo, CA Metro Area, Solano County, California, 46700","Vallejo, CA Metro Area, Solano County, California, 46700",#dbdb8d,8.225249895000953,0.3535268352452032,1634,702,"Vallejo, CA Metro Area, Solano County, California, 46700  (cluster 8, strength 0.35)",8,0.7905,23.6739,112211,11.6281,61.87
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, District of Columbia, District of Columbia, 47900","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, District of Columbia, District of Columbia, 47900",#dbdb8d,9.464158106297118,0.6863191936466568,1240,-354,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area, District of Columbia, District of Columbia, 47900  (cluster 8, strength 0.69)",8,2.7181,35.7252,2856029,14.8649,84.84
"Waterbury-Shelton, CT Metro Area, Naugatuck Valley Planning Region, Connecticut, 47930","Waterbury-Shelton, CT Metro Area, Naugatuck Valley Planning Region, Connecticut, 47930",#9edae5,8.249216249304762,0.3599646161060666,-189,-796,"Waterbury-Shelton, CT Metro Area, Naugatuck Valley Planning Region, Connecticut, 47930  (cluster 9, strength 0.36)",9,1.7276,29.3387,134408,11.8086,65.95
"Waterloo-Cedar Falls, IA Metro Area, Black Hawk County, Iowa, 47940","Waterloo-Cedar Falls, IA Metro Area, Black Hawk County, Iowa, 47940",#2ca02c,8.20268712985943,0.3474660829190483,-1767,-274,"Waterloo-Cedar Falls, IA Metro Area, Black Hawk County, Iowa, 47940  (cluster 2, strength 0.35)",2,0.3399,18.9343,62454,11.0422,53.87
"Wausau, WI Metro Area, Marathon County, Wisconsin, 48140","Wausau, WI Metro Area, Marathon County, Wisconsin, 48140",#1f77b4,9.581144694515215,0.7177438320819036,-1173,1781,"Wausau, WI Metro Area, Marathon County, Wisconsin, 48140  (cluster 0, strength 0.72)",0,0.4478,18.5584,52247,10.8637,56.56
"Winston-Salem, NC Metro Area, Davidson County, North Carolina, 49180","Winston-Salem, NC Metro Area, Davidson County, North Carolina, 49180",#d62728,12.644014177382612,1.5404840071695112,-1427,426,"Winston-Salem, NC Metro Area, Davidson County, North Carolina, 49180  (cluster 3, strength 1.54)",3,1.6932,30.9473,243447,12.4027,55.53
"Worcester, MA Metro Area, Worcester County, Massachusetts, 49340","Worcester, MA Metro Area, Worcester County, Massachusetts, 49340",#9edae5,12.508501694106773,1.504082990136117,-505,-667,"Worcester, MA Metro Area, Worcester County, Massachusetts, 49340  (cluster 9, strength 1.50)",9,1.9236,34.7679,307383,12.6358,62.92
"York-Hanover, PA Metro Area, York County, Pennsylvania, 49620","York-Hanover, PA Metro Area, York County, Pennsylvania, 49620",#2ca02c,9.695164158828678,0.7483714492746651,-1413,-627,"York-Hanover, PA Metro Area, York County, Pennsylvania, 49620  (cluster 2, strength 0.75)",2,1.2432,26.6121,155688,11.9556,54.06
"Youngstown-Warren, OH Metro Area, Mahoning County, Ohio, 49660","Youngstown-Warren, OH Metro Area, Mahoning County, Ohio, 49660",#2ca02c,12.427103584583774,1.482218037922072,-790,-745,"Youngstown-Warren, OH Metro Area, Mahoning County, Ohio, 49660  (cluster 2, strength 1.48)",2,1.1537,29.0936,132047,11.7909,47.65
