fips,name,cbsa,msa_name,pay,emp,wages,cluster,cluster_size,center,center_pay,pay_vs_center,cat
12017,Citrus,26140,"Homosassa Springs, FL",46611,29936,1395335821,45300,7,False,71571,0.651,red
17093,Kendall,16980,"Chicago-Naperville-Elgin, IL-IN",47937,24504,1174643401,16980,28,False,84515,0.567,red
37045,Cleveland,43140,"Shelby-Kings Mountain, NC",49055,29520,1448111580,16740,33,False,85620,0.573,red
17119,Madison,41180,"St. Louis, MO-IL",55048,89215,4911111657,41180,21,False,76954,0.715,red
51047,Culpeper,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",51969,13143,683016593,47900,52,False,112038,0.464,red
12083,Marion,36100,"Ocala, FL",49573,101919,5052456061,36740,12,False,64662,0.767,red
51730,Petersburg,40060,"Richmond, VA",50505,9975,503763641,47900,52,False,112038,0.451,red
37167,Stanly,10620,"Albemarle, NC",41803,17953,750491988,16740,33,False,85620,0.488,red
45079,Richland,17900,"Columbia, SC",59704,172284,10285961469,16740,33,False,85620,0.697,red
6017,El Dorado,40900,"Sacramento-Roseville-Folsom, CA",61755,47549,2936418213,41860,16,False,174600,0.354,red
17163,St. Clair,41180,"St. Louis, MO-IL",52492,73047,3834426767,41180,21,False,76954,0.682,red
48039,Brazoria,26420,"Houston-Pasadena-The Woodlands, TX",69668,98311,6849099095,26420,19,False,86124,0.809,red
48223,Hopkins,44860,"Sulphur Springs, TX",52918,11971,633465593,19100,23,False,83628,0.633,red
48321,Matagorda,13060,"Bay City, TX",69741,8810,614398081,26420,19,False,86124,0.81,red
6067,Sacramento,40900,"Sacramento-Roseville-Folsom, CA",67940,520956,35393664626,41860,16,False,174600,0.389,red
27037,Dakota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",69670,165985,11564192762,33460,27,False,88260,0.789,red
17171,Scott,27300,"Jacksonville, IL",52895,570,30132444,41180,21,False,76954,0.687,red
12117,Seminole,36740,"Orlando-Kissimmee-Sanford, FL",63185,195969,12382329200,36740,12,False,64662,0.977,brown
13013,Barrow,12060,"Atlanta-Sandy Springs-Roswell, GA",50698,19317,979325138,12060,54,False,91878,0.552,red
51097,King and Queen,40060,"Richmond, VA",50737,766,38881444,47900,52,False,112038,0.453,red
13263,Talbot,17980,"Columbus, GA-AL",52881,580,30653345,12060,54,False,91878,0.576,red
13097,Douglas,12060,"Atlanta-Sandy Springs-Roswell, GA",53602,44374,2378547519,12060,54,False,91878,0.583,red
51061,Fauquier,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",60145,18587,1117895708,47900,52,False,112038,0.537,red
27003,Anoka,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",62908,117024,7361688908,33460,27,False,88260,0.713,red
48201,Harris,26420,"Houston-Pasadena-The Woodlands, TX",86124,2145127,184747764562,26420,19,True,86124,1.0,center
26049,Genesee,22420,"Flint, MI",53040,115052,6102323045,19820,14,False,74128,0.716,red
34011,Cumberland,47220,"Vineland, NJ",53218,50513,2688191335,37980,16,False,80203,0.664,red
25027,Worcester,49340,"Worcester, MA",68064,297809,20270065075,14460,21,False,127028,0.536,red
4025,Yavapai,39150,"Prescott Valley-Prescott, AZ",49353,59568,2939845855,38060,7,False,70067,0.704,red
29071,Franklin,41180,"St. Louis, MO-IL",50833,34361,1746669572,41180,21,False,76954,0.661,red
36087,Rockland,35620,"New York-Newark-Jersey City, NY-NJ",59913,116637,6988091918,35620,36,False,116866,0.513,red
24013,Carroll,12580,"Baltimore-Columbia-Towson, MD",53672,49128,2636764971,12580,9,False,79122,0.678,red
4027,Yuma,49740,"Yuma, AZ",49076,56957,2795207408,38060,7,False,70067,0.7,red
13221,Oglethorpe,12020,"Athens-Clarke County, GA",46221,1418,65541342,12060,54,False,91878,0.503,red
24041,Talbot,20660,"Easton, MD",53137,15950,847543647,12580,9,False,79122,0.672,red
53017,Douglas,48300,"Wenatchee-East Wenatchee, WA",44385,10001,443877130,42660,13,False,124238,0.357,red
6065,Riverside,40140,"Riverside-San Bernardino-Ontario, CA",53535,685991,36724233140,31080,6,False,78602,0.681,red
29099,Jefferson,41180,"St. Louis, MO-IL",47859,39961,1912493866,41180,21,False,76954,0.622,red
48147,Fannin,14300,"Bonham, TX",50016,5933,296737443,19100,23,False,83628,0.598,red
